relevant_object,pot_image_file,pot_duration,flower_color,vase_color,surprise_relavent,relevent,relevent_train,irrelevent_surprise
flower,resources/pots/green_orange.jpg,1,green,orange,poly_0_surprise_relavent,poly_3,poly_3_train,poly_3_surprise
flower,resources/pots/green_purple.jpg,1,green,purple,poly_2_surprise_relavent,poly_3,poly_3_train,poly_3_surprise
flower,resources/pots/lightblue_green.jpg,1,lightblue,green,poly_1_surprise_relavent,poly_2,poly_2_train,poly_2_surprise
flower,resources/pots/lightblue_orange.jpg,1,lightblue,orange,poly_0_surprise_relavent,poly_2,poly_2_train,poly_2_surprise
flower,resources/pots/lightblue_purple.jpg,1,lightblue,purple,poly_2_surprise_relavent,poly_2,poly_2_train,poly_2_surprise
flower,resources/pots/red_deepblue.jpg,1,red,deepblue,poly_3_surprise_relavent,poly_0,poly_0_train,poly_0_surprise
flower,resources/pots/red_green.jpg,1,red,green,poly_1_surprise_relavent,poly_0,poly_0_train,poly_0_surprise
flower,resources/pots/red_purple.jpg,1,red,purple,poly_2_surprise_relavent,poly_0,poly_0_train,poly_0_surprise
flower,resources/pots/yellow_deepblue.jpg,1,yellow,deepblue,poly_3_surprise_relavent,poly_1,poly_1_train,poly_1_surprise
flower,resources/pots/yellow_green.jpg,1,yellow,green,poly_1_surprise_relavent,poly_1,poly_1_train,poly_1_surprise
flower,resources/pots/yellow_orange.jpg,1,yellow,orange,poly_0_surprise_relavent,poly_1,poly_1_train,poly_1_surprise
flower,resources/pots/green_deepblue.jpg,1,green,deepblue,poly_3_surprise_relavent,poly_3,poly_3_train,poly_3_surprise
vase,resources/pots/green_orange.jpg,1,green,orange,poly_3_surprise_relavent,poly_0,poly_0_train,poly_0_surprise
vase,resources/pots/green_purple.jpg,1,green,purple,poly_3_surprise_relavent,poly_2,poly_2_train,poly_2_surprise
vase,resources/pots/lightblue_green.jpg,1,lightblue,green,poly_2_surprise_relavent,poly_1,poly_1_train,poly_1_surprise
vase,resources/pots/lightblue_orange.jpg,1,lightblue,orange,poly_2_surprise_relavent,poly_0,poly_0_train,poly_0_surprise
vase,resources/pots/lightblue_purple.jpg,1,lightblue,purple,poly_2_surprise_relavent,poly_2,poly_2_train,poly_2_surprise
vase,resources/pots/red_deepblue.jpg,1,red,deepblue,poly_0_surprise_relavent,poly_3,poly_3_train,poly_3_surprise
vase,resources/pots/red_green.jpg,1,red,green,poly_0_surprise_relavent,poly_1,poly_1_train,poly_1_surprise
vase,resources/pots/red_purple.jpg,1,red,purple,poly_0_surprise_relavent,poly_2,poly_2_train,poly_2_surprise
vase,resources/pots/yellow_deepblue.jpg,1,yellow,deepblue,poly_1_surprise_relavent,poly_3,poly_3_train,poly_3_surprise
vase,resources/pots/yellow_green.jpg,1,yellow,green,poly_1_surprise_relavent,poly_1,poly_1_train,poly_1_surprise
vase,resources/pots/yellow_orange.jpg,1,yellow,orange,poly_1_surprise_relavent,poly_0,poly_0_train,poly_0_surprise
vase,resources/pots/green_deepblue.jpg,1,green,deepblue,poly_3_surprise_relavent,poly_3,poly_3_train,poly_3_surprise
